pair,fname,frame,rawLocX,rawLocY,icFullFrameX,icFullFrameY,Count,color,fname,frame,rawLocX,rawLocY,icFullFrameX,icFullFrameY,Count,color
1,JNCE_2016026_00C00058_V01.IMG.gz,2,1064.8110359628668,727.7818911994028,853.7818911994028,1064.8110359628668,4,1,JNCE_2016026_00C00058_V01.IMG.gz,4,1061.5486182802565,1292.1236203527894,623.1236203527894,1061.5486182802565,3,2
2,JNCE_2016026_00C00058_V01.IMG.gz,2,1064.8110359628668,727.7818911994028,853.7818911994028,1064.8110359628668,4,1,JNCE_2016026_00C00058_V01.IMG.gz,5,1061.5000005416334,1588.5905448112228,508.5905448112228,1061.5000005416334,2,3
3,JNCE_2016026_00C00058_V01.IMG.gz,4,490.5000010673427,1509.960278566865,867.960278566865,490.5000010673427,2,1,JNCE_2016026_00C00058_V01.IMG.gz,6,494.5000196516419,2074.5000009357923,637.5000009357925,494.5000196516419,1,2
4,JNCE_2016026_00C00058_V01.IMG.gz,4,490.5000010673427,1509.960278566865,867.960278566865,490.5000010673427,2,1,JNCE_2016026_00C00058_V01.IMG.gz,7,494.5000091924438,2370.908488636886,522.908488636886,494.5000091924438,2,3
5,JNCE_2016026_00C00058_V01.IMG.gz,4,1061.5486182802565,1292.1236203527894,623.1236203527894,1061.5486182802565,3,2,JNCE_2016026_00C00058_V01.IMG.gz,5,1061.5000005416334,1588.5905448112228,508.5905448112228,1061.5000005416334,2,3
6,JNCE_2016026_00C00058_V01.IMG.gz,6,494.5000196516419,2074.5000009357923,637.5000009357925,494.5000196516419,1,2,JNCE_2016026_00C00058_V01.IMG.gz,7,494.5000091924438,2370.908488636886,522.908488636886,494.5000091924438,2,3
7,JNCE_2016026_00C00058_V01.IMG.gz,7,1475.5000465551777,2640.9564749891006,846.9564749891003,1475.5000465551777,2,1,JNCE_2016026_00C00058_V01.IMG.gz,8,1469.4999739038124,2937.8079620026124,732.8079620026125,1469.4999739038124,2,2
8,JNCE_2016026_00C00058_V01.IMG.gz,7,1475.5000465551777,2640.9564749891006,846.9564749891003,1475.5000465551777,2,1,JNCE_2016026_00C00058_V01.IMG.gz,9,1466.4999431526342,3209.058882300296,620.058882300296,1466.4999431526342,2,2
9,JNCE_2016026_00C00058_V01.IMG.gz,7,1475.5000465551777,2640.9564749891006,846.9564749891003,1475.5000465551777,2,1,JNCE_2016026_00C00058_V01.IMG.gz,10,1467.4999479689948,3507.5000004773487,507.50000047734864,1467.4999479689948,1,3
10,JNCE_2016026_00C00058_V01.IMG.gz,8,1469.4999739038124,2937.8079620026124,732.8079620026125,1469.4999739038124,2,2,JNCE_2016026_00C00058_V01.IMG.gz,9,1466.4999431526342,3209.058882300296,620.058882300296,1466.4999431526342,2,2
11,JNCE_2016026_00C00058_V01.IMG.gz,8,1469.4999739038124,2937.8079620026124,732.8079620026125,1469.4999739038124,2,2,JNCE_2016026_00C00058_V01.IMG.gz,10,1467.4999479689948,3507.5000004773487,507.50000047734864,1467.4999479689948,1,3
12,JNCE_2016026_00C00058_V01.IMG.gz,9,1466.4999431526342,3209.058882300296,620.058882300296,1466.4999431526342,2,2,JNCE_2016026_00C00058_V01.IMG.gz,10,1467.4999479689948,3507.5000004773487,507.50000047734864,1467.4999479689948,1,3
13,JNCE_2016026_00C00058_V01.IMG.gz,10,272.49999635871706,3804.5000033246497,858.5000033246497,272.49999635871706,1,1,JNCE_2016026_00C00058_V01.IMG.gz,12,279.4999987429422,4370.953865586267,629.9538655862674,279.4999987429422,2,2
14,JNCE_2016026_00C00058_V01.IMG.gz,38,671.4999903409786,14505.046107489816,807.0461074898166,671.4999903409786,2,1,JNCE_2016026_00C00058_V01.IMG.gz,39,672.4999615107436,14800.499999164927,691.4999991649274,672.4999615107436,1,2
15,JNCE_2016026_00C00058_V01.IMG.gz,38,671.4999903409786,14505.046107489816,807.0461074898166,671.4999903409786,2,1,JNCE_2016026_00C00058_V01.IMG.gz,40,672.4999910819146,15096.499995749324,576.4999957493238,672.4999910819146,1,3
16,JNCE_2016026_00C00058_V01.IMG.gz,38,671.4999903409786,14505.046107489816,807.0461074898166,671.4999903409786,2,1,JNCE_2016026_00C00058_V01.IMG.gz,41,671.5000047780113,15365.499999701375,461.4999997013743,671.5000047780113,1,3
17,JNCE_2016026_00C00058_V01.IMG.gz,39,672.4999615107436,14800.499999164927,691.4999991649274,672.4999615107436,1,2,JNCE_2016026_00C00058_V01.IMG.gz,40,672.4999910819146,15096.499995749324,576.4999957493238,672.4999910819146,1,3
18,JNCE_2016026_00C00058_V01.IMG.gz,39,672.4999615107436,14800.499999164927,691.4999991649274,672.4999615107436,1,2,JNCE_2016026_00C00058_V01.IMG.gz,41,671.5000047780113,15365.499999701375,461.4999997013743,671.5000047780113,1,3
19,JNCE_2016026_00C00058_V01.IMG.gz,40,672.4999910819146,15096.499995749324,576.4999957493238,672.4999910819146,1,3,JNCE_2016026_00C00058_V01.IMG.gz,41,671.5000047780113,15365.499999701375,461.4999997013743,671.5000047780113,1,3
20,JNCE_2016026_00C00058_V01.IMG.gz,44,86.50000322210353,16847.500001909393,845.5000019093947,86.50000322210353,1,1,JNCE_2016026_00C00058_V01.IMG.gz,45,92.50000107403451,17144.49999868729,731.4999986872912,92.50000107403451,1,2
21,JNCE_2016026_00C00058_V01.IMG.gz,44,86.50000322210353,16847.500001909393,845.5000019093947,86.50000322210353,1,1,JNCE_2016026_00C00058_V01.IMG.gz,46,95.49999705216244,17416.50000009212,619.5000000921199,95.49999705216244,1,2
22,JNCE_2016026_00C00058_V01.IMG.gz,45,92.50000107403451,17144.49999868729,731.4999986872912,92.50000107403451,1,2,JNCE_2016026_00C00058_V01.IMG.gz,46,95.49999705216244,17416.50000009212,619.5000000921199,95.49999705216244,1,2
23,JNCE_2016026_00C00058_V01.IMG.gz,63,1352.5000115787652,24076.249287329993,778.2492873299915,1352.5000115787652,2,1,JNCE_2016026_00C00058_V01.IMG.gz,64,1349.0176766980635,24373.500000648633,664.5000006486326,1349.0176766980635,2,2
24,JNCE_2016026_00C00058_V01.IMG.gz,63,1352.5000115787652,24076.249287329993,778.2492873299915,1352.5000115787652,2,1,JNCE_2016026_00C00058_V01.IMG.gz,65,1348.5000497035594,24671.5,551.5,1348.5000497035594,1,3
